nTime,nTair,nupStreamTemp,nDownStreamTemp,nInflow,nOutFlow,nDischarge,ndsWV,gaugeHeight,nWz,nRH,nlowCloud,nhighCloud,ndamElevation,ndamStorage,nRain,nwindDirection
3/13/2025 19:00,9.0195,6.1,6.1,3800.12,4332.477529,3718,0.478536,22.945344,7.985624533,64.41916667,0.135416667,0,48.26355446,359362063.2,0,336.5
3/13/2025 19:15,9.297,6.1,6.1,3800.061042,4445.744915,3707.3825,0.490728,22.914864,7.471528533,62.08166667,0.104166667,0,48.26282421,359429904.6,0,329
3/13/2025 19:30,9.5745,6.1,6.1,3800.002083,4502.378608,3696.765,0.496824,22.924008,6.957432533,59.74416667,0.072916667,0,48.26209396,359497746,0,321.5
3/13/2025 19:45,9.852,6.1,6.1,3799.943125,4502.378608,3686.1475,0.496824,22.92096,6.443336533,57.40666667,0.041666667,0,48.26136371,359565587.4,0,314
3/13/2025 20:00,10.1295,6.1,6.1,3799.884167,4332.477529,3675.53,0.478536,22.92096,6.289107733,55.69216667,0.025,0,48.26063346,359633428.8,0,312.3333333
3/13/2025 20:15,10.407,6.125,6.125,3799.825208,4304.160682,3678.36,0.475488,22.924008,6.546155733,54.68966667,0.025,0,48.25990321,359565587.4,0,317.3333333
3/13/2025 20:30,10.6845,6.15,6.15,3799.76625,4502.378608,3681.19,0.496824,22.92096,6.803203733,53.68716667,0.025,0,48.25917296,359497746,0,322.3333333
3/13/2025 20:45,10.962,6.175,6.175,3799.707292,4502.378608,3684.02,0.496824,22.899624,7.060251733,52.68466667,0.025,0,48.25844271,359429904.6,0,327.3333333
3/13/2025 21:00,10.851,6.2,6.2,3799.648333,4275.843835,3686.85,0.47244,22.896576,7.9170784,52.32733333,0.039583333,0,48.25771246,359362063.2,0,326.5
3/13/2025 21:15,10.296,6.2,6.2,3799.589375,4502.378608,3691.0975,0.496824,22.917912,9.4593664,52.70733333,0.070833333,0,48.25698221,359164706.4,0,319
3/13/2025 21:30,9.741,6.2,6.2,3799.530417,4530.695455,3695.345,0.50292,22.899624,11.0016544,53.08733333,0.102083333,0,48.25625196,358967349.6,0,311.5
3/13/2025 21:45,9.186,6.2,6.2,3799.471458,4615.645994,3699.5925,0.509016,22.92096,12.5439424,53.46733333,0.133333333,0,48.25552171,358769992.8,0,304
3/13/2025 22:00,8.954166667,6.2,6.2,3799.4125,4785.547074,3703.84,0.527304,22.954488,12.6467616,53.94416667,0.212416667,0.079916667,48.25479146,358572636,0,301.1666667
3/13/2025 22:15,9.091666667,6.2,6.2,3799.353542,4530.695455,3699.5925,0.499872,22.969728,11.1044736,54.53166667,0.346166667,0.251166667,48.25406121,358356777,0,303.6666667
3/13/2025 22:30,9.229166667,6.2,6.2,3799.294583,4587.329148,3695.345,0.505968,22.924008,9.5621856,55.11916667,0.479916667,0.422416667,48.25333096,358140918,0,306.1666667
3/13/2025 22:45,9.366666667,6.2,6.2,3799.235625,4530.695455,3691.0975,0.499872,22.87524,8.0198976,55.70666667,0.613666667,0.593666667,48.25260071,357925059,0,308.6666667
3/13/2025 23:00,9.375833333,6.2,6.2,3799.176667,4417.428068,3686.85,0.48768,22.84476,7.197344,55.74583333,0.622583333,0.605083333,48.25187046,357709200,0,311.1666667
3/13/2025 23:15,9.238333333,6.2,6.2,3799.117708,4445.744915,3660.6575,0.490728,22.817328,7.197344,55.15833333,0.488833333,0.433833333,48.25114021,357955896,0,313.6666667
